filter,n,max_tries,b,search_total_time,insert_total_time,insert_average_time
counting_cuckoo,500,4,1363,0.0029,0.0043,0.0043
cuckoo,100,8,1363,0.0026,0.0042,0.0042
cuckoo,500,4,1363,0.0027,0.0097,0.0097
counting_cuckoo,100,8,1383,0.0027,0.0586,0.0586
counting_cuckoo,500,4,1383,0.0125,0.004,0.004
cuckoo,100,8,1383,0.0029,0.0037,0.0037
cuckoo,500,4,1383,0.0027,0.0039,0.0039
counting_cuckoo,100,8,1403,0.0026,0.0041,0.0041
counting_cuckoo,500,4,1403,0.0027,0.0038,0.0038
cuckoo,100,8,1403,0.0025,0.0036,0.0036
cuckoo,500,4,1403,0.0034,0.0043,0.0043
counting_cuckoo,100,8,1423,0.0027,0.0039,0.0039
counting_cuckoo,500,4,1423,0.0027,0.004,0.004
cuckoo,100,8,1423,0.0029,0.004,0.004
cuckoo,500,4,1423,0.0068,0.0096,0.0096
counting_cuckoo,100,8,1443,0.0072,0.0075,0.0075
counting_cuckoo,500,4,1443,0.0061,0.0089,0.0089
cuckoo,100,8,1443,0.0028,0.0039,0.0039
cuckoo,500,4,1443,0.0032,0.0037,0.0037
counting_cuckoo,100,8,1463,0.0028,0.0045,0.0045
counting_cuckoo,500,4,1463,0.0052,0.004,0.004
cuckoo,100,8,1463,0.0033,0.0108,0.0108
cuckoo,500,4,1463,0.0047,0.0051,0.0051
counting_cuckoo,100,8,1483,0.0074,0.0397,0.0397
counting_cuckoo,500,4,1483,0.0067,0.0041,0.0041
cuckoo,100,8,1483,0.0027,0.0039,0.0039
cuckoo,500,4,1483,0.0083,0.0043,0.0043
counting_cuckoo,100,8,1503,0.0089,0.0087,0.0087
counting_cuckoo,500,4,1503,0.0032,0.0038,0.0038
cuckoo,100,8,1503,0.0033,0.0038,0.0038
cuckoo,500,4,1503,0.0045,0.0065,0.0065
counting_cuckoo,100,8,1523,0.0033,0.0039,0.0039
counting_cuckoo,500,4,1523,0.0032,0.0039,0.0039
cuckoo,100,8,1523,0.0028,0.0039,0.0039
cuckoo,500,4,1523,0.0037,0.0042,0.0042
counting_cuckoo,100,8,1543,0.0054,0.0038,0.0038
counting_cuckoo,500,4,1543,0.0035,0.0042,0.0042
cuckoo,100,8,1543,0.0028,0.0038,0.0038
cuckoo,500,4,1543,0.0029,0.0042,0.0042
counting_cuckoo,100,8,1563,0.0032,0.004,0.004
counting_cuckoo,500,4,1563,0.003,0.004,0.004
cuckoo,100,8,1563,0.0043,0.0046,0.0046
cuckoo,500,4,1563,0.0027,0.0037,0.0037
counting_cuckoo,100,8,1583,0.003,0.0041,0.0041
counting_cuckoo,500,4,1583,0.003,0.004,0.004
cuckoo,100,8,1583,0.0025,0.0041,0.0041
cuckoo,500,4,1583,0.0028,0.004,0.004
counting_cuckoo,100,8,1603,0.0036,0.0039,0.0039
counting_cuckoo,500,4,1603,0.0052,0.0038,0.0038
cuckoo,100,8,1603,0.0034,0.0044,0.0044
cuckoo,500,4,1603,0.0027,0.0036,0.0036
counting_cuckoo,100,8,1623,0.0028,0.0093,0.0093
counting_cuckoo,500,4,1623,0.0029,0.0047,0.0047
cuckoo,100,8,1623,0.0055,0.0039,0.0039
cuckoo,500,4,1623,0.0063,0.0112,0.0112
counting_cuckoo,100,8,1643,0.0046,0.0059,0.0059
counting_cuckoo,500,4,1643,0.004,0.005,0.005
cuckoo,100,8,1643,0.008,0.0052,0.0052
cuckoo,500,4,1643,0.0027,0.0044,0.0044
counting_cuckoo,100,8,1663,0.0057,0.0045,0.0045
counting_cuckoo,500,4,1663,0.0052,0.007,0.007
cuckoo,100,8,1663,0.0029,0.0036,0.0036
cuckoo,500,4,1663,0.0031,0.0039,0.0039
counting_cuckoo,100,8,1683,0.003,0.0039,0.0039
counting_cuckoo,500,4,1683,0.0028,0.0066,0.0066
cuckoo,100,8,1683,0.0031,0.0073,0.0073
cuckoo,500,4,1683,0.003,0.0039,0.0039
counting_cuckoo,100,8,1703,0.0029,0.004,0.004
counting_cuckoo,500,4,1703,0.003,0.0039,0.0039
cuckoo,100,8,1703,0.003,0.0038,0.0038
cuckoo,500,4,1703,0.003,0.004,0.004
counting_cuckoo,100,8,1723,0.0029,0.0037,0.0037
counting_cuckoo,500,4,1723,0.003,0.0039,0.0039
cuckoo,100,8,1723,0.0031,0.0039,0.0039
cuckoo,500,4,1723,0.0031,0.0038,0.0038
counting_cuckoo,100,8,1743,0.0045,0.0039,0.0039
counting_cuckoo,500,4,1743,0.0029,0.004,0.004
cuckoo,100,8,1743,0.0044,0.0049,0.0049
cuckoo,500,4,1743,0.0029,0.0041,0.0041
counting_cuckoo,100,8,1763,0.0032,0.0059,0.0059
counting_cuckoo,500,4,1763,0.0334,0.0041,0.0041
cuckoo,100,8,1763,0.0059,0.0041,0.0041
cuckoo,500,4,1763,0.003,0.0035,0.0035
counting_cuckoo,100,8,1783,0.0031,0.0038,0.0038
counting_cuckoo,500,4,1783,0.0036,0.004,0.004
cuckoo,100,8,1783,0.0031,0.0042,0.0042
cuckoo,500,4,1783,0.0033,0.0047,0.0047
counting_cuckoo,100,8,1803,0.0033,0.0042,0.0042
counting_cuckoo,500,4,1803,0.0112,0.0057,0.0057
cuckoo,100,8,1803,0.0033,0.0039,0.0039
cuckoo,500,4,1803,0.0061,0.0139,0.0139
counting_cuckoo,100,8,1823,0.0032,0.0042,0.0042
counting_cuckoo,500,4,1823,0.0048,0.0573,0.0573
cuckoo,100,8,1823,0.0028,0.0038,0.0038
cuckoo,500,4,1823,0.0042,0.0041,0.0041
counting_cuckoo,100,8,1843,0.003,0.0039,0.0039
counting_cuckoo,500,4,1843,0.0049,0.0041,0.0041
cuckoo,100,8,1843,0.0035,0.004,0.004
cuckoo,500,4,1843,0.0033,0.0037,0.0037
counting_cuckoo,100,8,1863,0.0045,0.0039,0.0039
counting_cuckoo,500,4,1863,0.0075,0.0055,0.0055
cuckoo,100,8,1863,0.0029,0.0047,0.0047
cuckoo,500,4,1863,0.0029,0.0045,0.0045
counting_cuckoo,100,8,1883,0.003,0.0039,0.0039
counting_cuckoo,500,4,1883,0.0039,0.0038,0.0038
cuckoo,100,8,1883,0.0026,0.0041,0.0041
cuckoo,500,4,1883,0.0031,0.0037,0.0037
counting_cuckoo,100,8,1903,0.003,0.0038,0.0038
counting_cuckoo,500,4,1903,0.0028,0.0041,0.0041
cuckoo,100,8,1903,0.003,0.0042,0.0042
cuckoo,500,4,1903,0.0029,0.0041,0.0041
counting_cuckoo,100,8,1923,0.003,0.0038,0.0038
counting_cuckoo,500,4,1923,0.0063,0.006,0.006
cuckoo,100,8,1923,0.0031,0.0047,0.0047
cuckoo,500,4,1923,0.0026,0.0039,0.0039
counting_cuckoo,100,8,1943,0.0032,0.0039,0.0039
counting_cuckoo,500,4,1943,0.0029,0.0039,0.0039
cuckoo,100,8,1943,0.0032,0.0039,0.0039
cuckoo,500,4,1943,0.0029,0.0037,0.0037
counting_cuckoo,100,8,1963,0.0035,0.0064,0.0064
counting_cuckoo,500,4,1963,0.004,0.0039,0.0039
cuckoo,100,8,1963,0.0046,0.0174,0.0174
cuckoo,500,4,1963,0.005,0.004,0.004
counting_cuckoo,100,8,1983,0.0034,0.0041,0.0041
counting_cuckoo,500,4,1983,0.0056,0.0057,0.0057
cuckoo,100,8,1983,0.003,0.0044,0.0044
cuckoo,500,4,1983,0.0028,0.0043,0.0043
counting_cuckoo,100,8,2003,0.0066,0.0094,0.0094
counting_cuckoo,500,4,2003,0.003,0.0044,0.0044
cuckoo,100,8,2003,0.0031,0.0036,0.0036
cuckoo,500,4,2003,0.0047,0.0048,0.0048
counting_cuckoo,100,8,2023,0.003,0.0061,0.0061
counting_cuckoo,500,4,2023,0.0039,0.0063,0.0063
cuckoo,100,8,2023,0.0034,0.0046,0.0046
cuckoo,500,4,2023,0.003,0.0275,0.0275
counting_cuckoo,100,8,2043,0.0028,0.004,0.004
counting_cuckoo,500,4,2043,0.0033,0.0042,0.0042
cuckoo,100,8,2043,0.0029,0.0039,0.0039
cuckoo,500,4,2043,0.0028,0.0047,0.0047
counting_cuckoo,100,8,2063,0.0033,0.0042,0.0042
counting_cuckoo,500,4,2063,0.0081,0.0052,0.0052
cuckoo,100,8,2063,0.0029,0.0042,0.0042
cuckoo,500,4,2063,0.003,0.0094,0.0094
counting_cuckoo,100,8,2083,0.0037,0.0042,0.0042
counting_cuckoo,500,4,2083,0.0035,0.004,0.004
cuckoo,100,8,2083,0.0033,0.0043,0.0043
cuckoo,500,4,2083,0.0035,0.0041,0.0041
counting_cuckoo,100,8,2103,0.0031,0.004,0.004
counting_cuckoo,500,4,2103,0.0029,0.004,0.004
cuckoo,100,8,2103,0.0054,0.005,0.005
cuckoo,500,4,2103,0.0029,0.0038,0.0038
counting_cuckoo,100,8,2123,0.0031,0.0041,0.0041
counting_cuckoo,500,4,2123,0.004,0.0044,0.0044
cuckoo,100,8,2123,0.0028,0.004,0.004
cuckoo,500,4,2123,0.0034,0.0057,0.0057
counting_cuckoo,100,8,2143,0.0096,0.0052,0.0052
counting_cuckoo,500,4,2143,0.0032,0.0039,0.0039
cuckoo,100,8,2143,0.0028,0.0037,0.0037
cuckoo,500,4,2143,0.003,0.004,0.004
counting_cuckoo,100,8,2163,0.0029,0.0039,0.0039
counting_cuckoo,500,4,2163,0.0031,0.0045,0.0045
cuckoo,100,8,2163,0.0061,0.0161,0.0161
cuckoo,500,4,2163,0.0039,0.0037,0.0037
counting_cuckoo,100,8,2183,0.0073,0.0956,0.0956
counting_cuckoo,500,4,2183,0.0065,0.0041,0.0041
cuckoo,100,8,2183,0.003,0.0047,0.0047
cuckoo,500,4,2183,0.0037,0.0042,0.0042
counting_cuckoo,100,8,2203,0.0035,0.0058,0.0058
counting_cuckoo,500,4,2203,0.003,0.0039,0.0039
cuckoo,100,8,2203,0.0029,0.0038,0.0038
cuckoo,500,4,2203,0.003,0.0042,0.0042
counting_cuckoo,100,8,2223,0.004,0.0058,0.0058
counting_cuckoo,500,4,2223,0.003,0.0039,0.0039
cuckoo,100,8,2223,0.0028,0.0041,0.0041
cuckoo,500,4,2223,0.003,0.0044,0.0044
counting_cuckoo,100,8,2243,0.0043,0.005,0.005
counting_cuckoo,500,4,2243,0.0035,0.004,0.004
cuckoo,100,8,2243,0.0039,0.0044,0.0044
cuckoo,500,4,2243,0.0037,0.008,0.008
counting_cuckoo,100,8,2263,0.0038,0.0048,0.0048
counting_cuckoo,500,4,2263,0.0031,0.0053,0.0053
cuckoo,100,8,2263,0.003,0.0039,0.0039
cuckoo,500,4,2263,0.003,0.0044,0.0044
counting_cuckoo,100,8,2283,0.0031,0.0038,0.0038
counting_cuckoo,500,4,2283,0.0042,0.0056,0.0056
cuckoo,100,8,2283,0.0028,0.0039,0.0039
cuckoo,500,4,2283,0.0033,0.016,0.016
counting_cuckoo,100,8,2303,0.0028,0.0039,0.0039
counting_cuckoo,500,4,2303,0.0037,0.0136,0.0136
cuckoo,100,8,2303,0.0031,0.0046,0.0046
cuckoo,500,4,2303,0.0033,0.0038,0.0038
counting_cuckoo,100,8,2323,0.0031,0.0038,0.0038
counting_cuckoo,500,4,2323,0.0054,0.0067,0.0067
cuckoo,100,8,2323,0.0029,0.005,0.005
cuckoo,500,4,2323,0.009,0.0068,0.0068
counting_cuckoo,100,8,2343,0.0034,0.0042,0.0042
counting_cuckoo,500,4,2343,0.0039,0.004,0.004
cuckoo,100,8,2343,0.0027,0.0037,0.0037
cuckoo,500,4,2343,0.0037,0.0041,0.0041
counting_cuckoo,100,8,2363,0.0031,0.0043,0.0043
counting_cuckoo,500,4,2363,0.0035,0.004,0.004
cuckoo,100,8,2363,0.0029,0.0038,0.0038
cuckoo,500,4,2363,0.0031,0.0037,0.0037
counting_cuckoo,100,8,2383,0.0032,0.0044,0.0044
counting_cuckoo,500,4,2383,0.0043,0.0047,0.0047
cuckoo,100,8,2383,0.0028,0.004,0.004
cuckoo,500,4,2383,0.0028,0.0038,0.0038
counting_cuckoo,100,8,2403,0.0032,0.0062,0.0062
